,Ano de Registo,Combustível,Condição,ID,Marca,Origem,Potência,Quilómetros,Segmento,Série,Tipo de Caixa
0,2013,Gasolina,Usados,8073675579,Cadillac,,409,47200,SUV / TT,,Automática
1,2012,Diesel,Usados,8069978966,Porsche,,250,113000,Sedan,,Automática
2,2013,Diesel,Usados,8068316065,Citroën,,115,104000,Citadino,,Manual
3,2018,Diesel,Usados,8074629399,BMW,,190,35000,Sedan,Série 5,Automática
4,2018,Diesel,Usados,8075510964,Mercedes-Benz,Nacional,190,78453,Sedan,Classe E,Automática
5,2017,Híbrido (Gasolina),Usados,8072161163,BMW,,252,35213,Sedan,Série 3,Automática
6,2015,Gasolina,Usados,8074824375,BMW,Nacional,85,35631,Sport / Turismo,,Unknown
7,2016,Diesel,Usados,8064003711,Mercedes-Benz,,109,75000,Utilitário,Classe A,Unknown
8,2013,Diesel,Usados,8052369613,VW,Nacional,102,85000,Carrinha,,Unknown
9,2015,Diesel,Usados,8073871562,BMW,Nacional,218,103322,SUV / TT,Série X,Automática
10,2008,Diesel,Usados,8072810762,MINI,,110,190000,Carrinha,,Manual
11,2018,Diesel,Usados,8074632564,Fiat,Nacional,95,39854,Carrinha,,Manual
12,2012,Diesel,Usados,8073285820,Fiat,Nacional,105,53500,Utilitário,,Manual
13,2016,Gasolina,Usados,8074283033,Smart,,71,55677,Coupé,,Manual
14,2016,Diesel,Usados,8071826402,Peugeot,,120,79000,Carrinha,,Automática
15,2015,Híbrido (Diesel),Usados,8075625004,Mercedes-Benz,,204,32700,Sedan,Classe E,Unknown
16,2017,Diesel,Usados,8061646888,Peugeot,Nacional,120,28588,Carrinha,,Manual
17,2018,Diesel,Usados,8073699563,Ford,Nacional,120,41000,Carrinha,,Manual
18,2015,Diesel,Usados,8072916270,Volvo,Nacional,115,111200,Utilitário,,Manual
19,2015,Diesel,Usados,8074401414,VW,,90,82956,Utilitário,,Manual
20,2015,Diesel,Usados,8065875119,VW,,110,88500,Carrinha,,Manual
21,2008,Diesel,Usados,8073025112,VW,Nacional,105,204415,Carrinha,,Manual
22,2018,Gasolina,Usados,8072193638,Fiat,Nacional,69,33895,Pequeno citadino,,Manual
23,2018,Diesel,Usados,8003338330,Fiat,Nacional,95,50000,SUV / TT,,Manual
24,2016,Diesel,Usados,8074051212,MINI,Nacional,116,117501,Carrinha,,Manual
25,2015,Diesel,Usados,8073763710,VW,,150,89239,Monovolume,,Manual
26,2015,Diesel,Usados,8074845730,BMW,Nacional,115,37000,Citadino,Série 2,Manual
27,2018,Gasolina,Usados,8070349088,Fiat,Nacional,69,14332,Cabrio,,Manual
28,2013,Diesel,Usados,8000578294,Mercedes-Benz,,170,109673,Coupé,Classe CLA,Automática
29,2018,Diesel,Usados,8075486974,Volvo,,190,24510,Sedan,,Automática
30,2015,Diesel,Usados,8073697874,Renault,,110,103777,Utilitário,,Manual
31,2016,Diesel,Usados,8074402523,VW,,75,39560,Citadino,,Manual
32,2017,Diesel,Usados,8073619507,Renault,Nacional,110,25829,Carrinha,,Manual
33,2016,Diesel,Usados,8052272344,BMW,Nacional,231,49575,SUV / TT,Série X,Automática
34,2015,Diesel,Usados,8074401565,Toyota,,90,84029,Utilitário,,Manual
35,2018,Gasolina,Usados,8071221709,Fiat,Nacional,69,49622,Pequeno citadino,,Manual
36,2018,Diesel,Usados,8072521305,Volvo,,190,32750,Carrinha,,Automática
37,2017,Diesel,Usados,8069721408,Volvo,,190,51037,Carrinha,,Automática
38,2014,Diesel,Usados,8075178036,Volvo,,115,119750,Utilitário,,Manual
39,2019,Diesel,Usados,8075486190,MINI,,116,24370,Cabrio,,Unknown
40,2015,Diesel,Usados,8074189034,VW,,75,100674,Citadino,,Manual
41,2013,Diesel,Usados,8029703271,Fiat,,95,68171,Pequeno citadino,,Manual
42,2008,Diesel,Usados,8074866447,Alfa Romeo,Nacional,120,198000,Sedan,,Manual
