,Ano de Registo,Classe do veículo,Combustível,Condição,ID,Marca,Potência,Quilómetros,Segmento,Tipo de Caixa,Origem,Matrícula,Valor Fixo,Série
0,2017,Classe 1,Diesel,Usados,8075673375,Peugeot,120 cv,126 800 km,Utilitário,Manual,,,,
1,2020,Classe 1,Gasolina,Usados,8070998156,Honda,102 cv,5 km,Utilitário,Manual,Nacional,,,
2,2019,,Gasolina,Usados,8073171436,Hyundai,120 cv,7 000 km,Sedan,Manual,Nacional,62-ZD-06,Sim,
3,2019,,Gasolina,Usados,8067249898,Audi,116 cv,35 900 km,Citadino,Manual,Nacional,23-VX-83,Sim,
4,2018,Classe 1,Gasolina,Usados,8065809703,VW,60 cv,36 075 km,Pequeno citadino,Manual,Nacional,,Sim,
5,2019,,Diesel,Usados,8074358445,Citroën,102 cv,5 800 km,Citadino,Manual,Nacional,51-ZA-08,Sim,
6,2018,Classe 1,Diesel,Usados,8070603527,Opel,95 cv,29 100 km,Citadino,Manual,Nacional,40-UE-70,Sim,
7,2018,,Diesel,Usados,8071143393,Jaguar,180 cv,30 000 km,Sedan,Automática,,,,
8,2019,,Diesel,Usados,8073171447,Hyundai,136 cv,17 km,SUV / TT,Manual,Nacional,67-XM-31,Sim,
9,2019,,Gasolina,Usados,8073170625,Kia,120 cv,500 km,Sedan,Manual,Nacional,02-ZG-83,,
10,2019,,Gasolina,Usados,8074358439,Citroën,110 cv,3 228 km,Utilitário,Manual,Nacional,52-XU-38,Sim,
11,2019,,Gasolina,Usados,8074359026,Peugeot,82 cv,19 881 km,Citadino,Manual,Nacional,88-XE-58,Sim,
12,2018,,Diesel,Usados,8047153551,VW,110 cv,25 000 km,Utilitário,Manual,Nacional,23-VP-63,Sim,
13,2008,Classe 1,Gasolina,Usados,8058786554,Audi,200 cv,79 000 km,Coupé,Manual,Nacional,,Sim,
14,2018,Classe 1,Diesel,Usados,8070603527,Opel,95 cv,29 100 km,Citadino,Manual,Nacional,40-UE-70,Sim,
15,2009,,Gasolina,Usados,8075673748,VW,70 cv,35 012 km,Citadino,Manual,Nacional,24-IP-15,,
16,2018,,Diesel,Usados,8071139789,Jaguar,180 cv,50 000 km,Sedan,Automática,,,,
17,2019,,Diesel,Usados,8073170689,Citroën,130 cv,16 228 km,Monovolume,Manual,Nacional,97-XI-72,Sim,
18,2018,Classe 1,Diesel,Usados,8066095501,Peugeot,120 cv,90 000 km,Carrinha,Automática,,,,
19,2015,Classe 1,Diesel,Usados,8075675146,Volvo,181 cv,165 000 km,SUV / TT,Manual,,,,
20,2018,Classe 1,Diesel,Usados,8071553361,Peugeot,120 cv,9 200 km,SUV / TT,Manual,,,,
21,2014,,Diesel,Usados,8075612517,Volvo,190 cv,164 700 km,Utilitário,Manual,Importado,,,
22,2019,,Diesel,Usados,8075673744,Peugeot,102 cv,16 728 km,Carrinha,Manual,Nacional,89-XI-86,Sim,
23,2019,,Gasolina,Usados,8073171500,Citroën,110 cv,250 km,Utilitário,Manual,Nacional,21-ZA-89,Sim,
24,2006,Classe 1,Diesel,Usados,8073385631,Citroën,110 cv,235 000 km,Utilitário,Manual,,,Sim,
25,2019,,Gasolina,Usados,8073171383,DS,130 cv,3 802 km,SUV / TT,Automática,Nacional,29-ZB-19,Sim,
26,2017,,Gasolina,Usados,8075673751,VW,75 cv,37 102 km,Citadino,Manual,Nacional,49-TS-05,Sim,
27,2018,,Diesel,Usados,8066504505,Nissan,110 cv,24 391 km,SUV / TT,Manual,Nacional,23-VV-36,Sim,
28,2019,,Diesel,Usados,8073171420,Hyundai,116 cv,3 885 km,Carrinha,Manual,Nacional,61-ZD-89,Sim,
29,2019,,Gasolina,Usados,8074359010,Citroën,82 cv,13 652 km,Sedan,Manual,Nacional,26-XL-06,Sim,
30,2014,Classe 1,Híbrido (Gasolina),Usados,8052350392,Porsche,416 cv,99 000 km,Sedan,Automática,,,,
31,2018,,Diesel,Usados,8067382453,Audi,190 cv,18 500 km,Sedan,Automática,Nacional,45-VV-10,Sim,
