,Ano de Registo,Classe do veículo,Combustível,Condição,ID,Marca,Potência,Quilómetros,Segmento,Tipo de Caixa,Valor Fixo,Matrícula,Série,Origem
0,2013,Classe 2,Gasolina,Usados,8073675579,Cadillac,409 cv,47 200 km,SUV / TT,Automática,,,,
1,2012,Classe 1,Diesel,Usados,8069978966,Porsche,250 cv,113 000 km,Sedan,Automática,Sim,,,
2,2013,Classe 1,Diesel,Usados,8068316065,Citroën,115 cv,104 000 km,Citadino,Manual,Sim,00-00-00,,
3,2018,Classe 1,Diesel,Usados,8074629399,BMW,190 cv,35 000 km,Sedan,Automática,Sim,00-00-00,Série 5,
4,2018,Classe 1,Diesel,Usados,8075510964,Mercedes-Benz,190 cv,78 453 km,Sedan,Automática,,,Classe E,Nacional
5,2017,Classe 1,Híbrido (Gasolina),Usados,8072161163,BMW,252 cv,35 213 km,Sedan,Automática,,,Série 3,
6,2015,,Gasolina,Usados,8074824375,BMW,85 cv,35 631 km,Sport / Turismo,,,58-QO-69,,Nacional
7,1994,,Diesel,Usados,8035357496,Komatsu,,22 957 km,Transportes,,,,,
8,2016,,Diesel,Usados,8064003711,Mercedes-Benz,109 cv,75 000 km,Utilitário,,Sim,00-00-00,Classe A,
9,2013,Classe 1,Diesel,Usados,8052369613,VW,102 cv,85 000 km,Carrinha,,Sim,,,Nacional
10,2015,Classe 1,Diesel,Usados,8073871562,BMW,218 cv,103 322 km,SUV / TT,Automática,,,Série X,Nacional
11,2008,Classe 1,Diesel,Usados,8072810762,MINI,110 cv,190 000 km,Carrinha,Manual,,,,
12,2018,Classe 1,Diesel,Usados,8074632564,Fiat,95 cv,39 854 km,Carrinha,Manual,,,,Nacional
13,2012,Classe 1,Diesel,Usados,8073285820,Fiat,105 cv,53 500 km,Utilitário,Manual,,,,Nacional
14,2016,,Gasolina,Usados,8074283033,Smart,71 cv,55 677 km,Coupé,Manual,Sim,12RV56,,
15,2016,Classe 1,Diesel,Usados,8071826402,Peugeot,120 cv,79 000 km,Carrinha,Automática,Sim,,,
16,2019,Classe 1,Gasolina,Usados,8066377066,Mazda,100 cv,9 km,Utilitário,Manual,,,,Nacional
17,2015,,Híbrido (Diesel),Usados,8075625004,Mercedes-Benz,204 cv,32 700 km,Sedan,,,,Classe E,
18,2017,,Diesel,Usados,8061646888,Peugeot,120 cv,28 588 km,Carrinha,Manual,,54-SS-78,,Nacional
19,2018,Classe 1,Diesel,Usados,8073699563,Ford,120 cv,41 000 km,Carrinha,Manual,Sim,89-VU-22,,Nacional
20,2015,Classe 1,Diesel,Usados,8072916270,Volvo,115 cv,111 200 km,Utilitário,Manual,Sim,,,Nacional
21,2015,,Diesel,Usados,8074401414,VW,90 cv,82 956 km,Utilitário,Manual,Sim,55PU80,,
22,2015,,Diesel,Usados,8065875119,VW,110 cv,88 500 km,Carrinha,Manual,,,,
23,2008,,Diesel,Usados,8073025112,VW,105 cv,204 415 km,Carrinha,Manual,,,,Nacional
24,2018,Classe 1,Gasolina,Usados,8072193638,Fiat,69 cv,33 895 km,Pequeno citadino,Manual,,,,Nacional
25,2018,,Diesel,Usados,8003338330,Fiat,95 cv,50 000 km,SUV / TT,Manual,,,,Nacional
26,2015,,Híbrido (Diesel),Usados,8075625004,Mercedes-Benz,204 cv,32 700 km,Sedan,,,,Classe E,
27,2016,Classe 1,Diesel,Usados,8074051212,MINI,116 cv,117 501 km,Carrinha,Manual,Sim,,,Nacional
28,2015,,Diesel,Usados,8073763710,VW,150 cv,89 239 km,Monovolume,Manual,Sim,09QP92,,
29,2015,Classe 1,Diesel,Usados,8074845730,BMW,115 cv,37 000 km,Citadino,Manual,,,Série 2,Nacional
30,2018,Classe 1,Gasolina,Usados,8070349088,Fiat,69 cv,14 332 km,Cabrio,Manual,,,,Nacional
31,2013,Classe 1,Diesel,Usados,8000578294,Mercedes-Benz,170 cv,109 673 km,Coupé,Automática,Sim,,Classe CLA,
32,2013,Classe 1,Diesel,Usados,8000578294,Mercedes-Benz,170 cv,109 673 km,Coupé,Automática,Sim,,Classe CLA,
33,2018,,Diesel,Usados,8075486974,Volvo,190 cv,24 510 km,Sedan,Automática,,,,
34,2015,Classe 1,Diesel,Usados,8073697874,Renault,110 cv,103 777 km,Utilitário,Manual,,,,
35,2016,,Diesel,Usados,8074402523,VW,75 cv,39 560 km,Citadino,Manual,Sim,03SB35,,
36,2017,,Diesel,Usados,8073619507,Renault,110 cv,25 829 km,Carrinha,Manual,,27-TI-45,,Nacional
37,2012,Classe 1,Diesel,Usados,8073285820,Fiat,105 cv,53 500 km,Utilitário,Manual,,,,Nacional
38,2016,Classe 1,Diesel,Usados,8052272344,BMW,231 cv,49 575 km,SUV / TT,Automática,Sim,,Série X,Nacional
39,2015,,Diesel,Usados,8074401565,Toyota,90 cv,84 029 km,Utilitário,Manual,Sim,47QO35,,
40,2016,Classe 1,Diesel,Usados,8071826402,Peugeot,120 cv,79 000 km,Carrinha,Automática,Sim,,,
41,2018,Classe 1,Gasolina,Usados,8071221709,Fiat,69 cv,49 622 km,Pequeno citadino,Manual,,,,Nacional
42,2018,,Diesel,Usados,8072521305,Volvo,190 cv,32 750 km,Carrinha,Automática,Sim,81UF70,,
43,2017,,Diesel,Usados,8069721408,Volvo,190 cv,51 037 km,Carrinha,Automática,Sim,75UA21,,
