,Ano de Registo,Classe do veículo,Combustível,Condição,Marca,Potência,Quilómetros,Segmento,Tipo de Caixa,Valor Fixo,Matrícula,Série,Origem
0,2012,Classe 1,Diesel,Usados,Porsche,250 cv,113 000 km,Sedan,Automática,Sim,,,
1,2013,Classe 1,Diesel,Usados,Citroën,115 cv,104 000 km,Citadino,Manual,Sim,00-00-00,,
2,2018,Classe 1,Diesel,Usados,BMW,190 cv,35 000 km,Sedan,Automática,Sim,00-00-00,Série 5,
3,2017,Classe 1,Gasolina,Usados,Audi,310 cv,16 000 km,Utilitário,Manual,Sim,00-00-00,,Nacional
4,2016,Classe 1,Diesel,Usados,Nissan,130 cv,44 741 km,SUV / TT,Manual,Sim,,,
5,1994,,Diesel,Usados,Komatsu,,22 957 km,Transportes,,,,,
6,2016,,Diesel,Usados,Mercedes-Benz,109 cv,75 000 km,Utilitário,,Sim,00-00-00,Classe A,
7,2015,Classe 1,Diesel,Usados,Peugeot,120 cv,61 150 km,Citadino,Manual,Sim,,,
8,2011,Classe 1,Diesel,Usados,Opel,95 cv,99 000 km,Carrinha,,Sim,,,Nacional
9,2014,Classe 1,Diesel,Usados,BMW,163 cv,58 044 km,SUV / TT,Manual,Sim,,Série X,Nacional
10,2014,Classe 2,Diesel,Usados,Porsche,240 cv,35 171 km,SUV / TT,Automática,Sim,,,
11,2019,Classe 1,Diesel,Usados,Peugeot,102 cv,24 000 km,Carrinha,Manual,,,,Nacional
12,2012,Classe 1,Diesel,Usados,BMW,190 cv,107 000 km,Carrinha,Manual,Sim,,Série 3,Nacional
13,2019,Classe 1,Gasolina,Usados,Peugeot,68 cv,17 000 km,Pequeno citadino,Manual,,,,
14,2015,Classe 1,Diesel,Usados,Renault,90 cv,115 000 km,Citadino,Manual,Sim,57-ZL-51,,
15,2017,Classe 1,Diesel,Usados,Mercedes-Benz,194 cv,82 000 km,Carrinha,Automática,Sim,,Classe E,
16,2019,Classe 1,Diesel,Usados,Peugeot,130 cv,25 000 km,Carrinha,Manual,Sim,,,Nacional
17,2007,,Diesel,Usados,Ford,115 cv,200 000 km,Monovolume,Manual,Sim,,,
18,2018,,Diesel,Usados,Peugeot,130 cv,43 000 km,Carrinha,Manual,Sim,18-VQ-03,,Nacional
19,2003,,Diesel,Usados,Peugeot,90 cv,245 000 km,Citadino,,,,,
20,2019,Classe 1,Diesel,Usados,Renault,90 cv,17 000 km,Carrinha,Manual,,,,Nacional
21,2015,,Diesel,Usados,Mercedes-Benz,80 cv,110 000 km,Utilitário,Automática,,,Classe B,
22,2018,Classe 1,Gasolina,Usados,Porsche,420 cv,4 200 km,Coupé,Automática,Sim,,911 (Todos),Nacional
23,2018,,Diesel,Usados,Audi,116 cv,42 642 km,Utilitário,Manual,Sim,90-UV-52,,Nacional
24,2015,,Diesel,Usados,Fiat,120 cv,100 000 km,SUV / TT,Manual,,,,
25,2018,,Gasolina,Usados,Renault,140 cv,8 000 km,Carrinha,,,,,
26,2009,Classe 1,Gasolina,Usados,Audi,211 cv,34 836 km,Cabrio,Automática,,,,Nacional
27,2016,,Diesel,Usados,Renault,90 cv,120 000 km,Citadino,Manual,,,,
28,2013,,Diesel,Usados,Hyundai,105 cv,188 000 km,Carrinha,Manual,Sim,,,Nacional
29,2017,Classe 1,Diesel,Usados,BMW,190 cv,25 838 km,Sedan,Automática,,,Série 4,Nacional
30,1993,Classe 2,Diesel,Usados,Nissan,78 cv,344 000 km,SUV / TT,Manual,,,,Nacional
31,2019,Classe 1,Diesel,Usados,Renault,90 cv,17 000 km,Carrinha,Manual,,,,Nacional
32,2016,,Diesel,Usados,Citroën,120 cv,72 000 km,Monovolume,Automática,Sim,,,
33,2017,Classe 1,Gasolina,Usados,Opel,75 cv,68 132 km,Citadino,Manual,,,,Nacional
34,2014,Classe 1,Diesel,Usados,Volvo,181 cv,180 000 km,Carrinha,Automática,Sim,98-PG-62,,Nacional
35,2010,Classe 1,Diesel,Usados,Audi,170 cv,164 000 km,SUV / TT,Automática,Sim,77-LD-43,,Nacional
36,2013,Classe 1,Gasolina,Usados,VW,460 cv,77 500 km,Utilitário,Automática,,,,
37,2015,Classe 1,Diesel,Usados,Renault,90 cv,120 000 km,Citadino,Manual,Sim,30-ZM-52,,
38,2015,Classe 1,Diesel,Usados,Mercedes-Benz,116 cv,118 000 km,Carrinha,Manual,,,Classe C,Nacional
39,2018,,Diesel,Usados,BMW,190 cv,50 000 km,Sedan,Automática,Sim,,Série 5,
40,2019,,Gasolina,Usados,Opel,83 cv,9 691 km,SUV / TT,,,,,
41,2016,,Diesel,Usados,Citroën,120 cv,72 000 km,Monovolume,Automática,Sim,,,
42,2011,Classe 1,Diesel,Usados,Opel,170 cv,127 000 km,Utilitário,Manual,,,,Nacional
43,2015,Classe 1,Diesel,Usados,Audi,110 cv,123 000 km,Sedan,Manual,,,,Nacional
44,2015,,Diesel,Usados,BMW,116 cv,74 000 km,Utilitário,Manual,,,Série 1,Nacional
45,2014,Classe 1,Eléctrico,Usados,Tesla,367 cv,115 000 km,Sedan,Automática,,,,
46,2011,,Diesel,Usados,Peugeot,115 cv,181 000 km,Carrinha,Automática,,,,
47,2019,,Gasolina,Usados,Opel,83 cv,9 691 km,SUV / TT,,,,,
48,2017,,Diesel,Usados,Renault,110 cv,150 000 km,Monovolume,Automática,Sim,,,
49,2016,Classe 1,Diesel,Usados,Audi,150 cv,95 000 km,SUV / TT,Manual,,,,Nacional
50,2017,Classe 1,Gasolina,Usados,Opel,75 cv,68 132 km,Citadino,Manual,,,,Nacional
51,2019,Classe 1,Gasolina,Usados,Renault,90 cv,70 km,SUV / TT,,Sim,,,Nacional
