,Ano de Registo,Classe do veículo,Combustível,Condição,ID,Marca,Matrícula,Origem,Potência,Quilómetros,Segmento,Tipo de Caixa,Série,Valor Fixo
0,2011,Classe 1,Diesel,Usados,8074631641,VW,00-00-00,Nacional,105 cv,205 000 km,Utilitário,Automática,,
1,2015,Classe 1,Diesel,Usados,8074694466,BMW,55-QM-86,Nacional,116 cv,39 865 km,SUV / TT,Manual,Série 2,
2,2018,Classe 1,Híbrido (Gasolina),Usados,8074631663,BMW,,,225 cv,8 200 km,SUV / TT,Automática,Série 2,
3,2018,Classe 1,Gasolina,Usados,8075750609,Nissan,,Nacional,90 cv,28 147 km,Citadino,Manual,,
4,2008,Classe 1,Diesel,Usados,8074406899,Chevrolet,,Nacional,127 cv,88 000 km,SUV / TT,Manual,,
5,2006,Classe 1,Gasolina,Usados,8074631733,BMW,00-00-00,,500 cv,88 000 km,Coupé,Automática,Série 6,
6,2015,Classe 1,Gasolina,Usados,8059261979,BMW,,Nacional,600 cv,42 000 km,Sedan,Automática,Série 6,Sim
7,2008,Classe 1,Diesel,Usados,8075750585,Toyota,,Nacional,136 cv,149 000 km,Monovolume,Manual,,
8,2015,Classe 1,Diesel,Usados,8075761263,Peugeot,,,120 cv,75 200 km,Utilitário,Manual,,Sim
9,2014,Classe 1,Eléctrico,Usados,8072810721,Tesla,,Importado,421 cv,131 900 km,Sedan,Automática,,
10,2000,,Diesel,Usados,8075748312,Suzuki,,,90 cv,58 222 km,SUV / TT,Manual,,
11,2016,Classe 1,Diesel,Usados,8074631747,Kia,00-00-00,Nacional,136 cv,140 000 km,Carrinha,Manual,,
12,2016,Classe 1,Eléctrico,Usados,8069148284,BMW,32-zl-83,,170 cv,29 959 km,Citadino,Automática,Série i,
13,2000,Classe 1,Gasolina,Usados,8074415490,Renault,95-00-PO,Nacional,60 cv,1 873 km,Citadino,Manual,,
14,2010,Classe 1,Gasolina,Usados,8074631759,DS,00-00-00,Nacional,150 cv,110 000 km,Citadino,Manual,,
15,2006,,Diesel,Usados,8074631629,Land Rover,00-00-00,Nacional,190 cv,320 000 km,SUV / TT,Automática,,
16,2015,Classe 1,Diesel,Usados,8064856398,Citroën,08-QJ-59,Nacional,120 cv,75 000 km,Utilitário,Manual,,Sim
17,2009,Classe 1,Gasolina,Usados,8062861050,MINI,,Nacional,174 cv,74 000 km,Carrinha,Manual,,
18,2009,Classe 1,Gasolina,Usados,8074631664,Mercedes-Benz,00-00-00,Nacional,310 cv,113 000 km,Cabrio,Automática,Classe SL,
19,2015,Classe 1,Diesel,Usados,8074530738,Mercedes-Benz,00-00-00,,136 cv,26 700 km,Coupé,Manual,Classe CLA,Sim
20,2011,Classe 1,Diesel,Usados,8074631791,BMW,00-00-00,Nacional,184 cv,236 000 km,Carrinha,Automática,Série 5,
21,2015,Classe 1,Diesel,Usados,8075748542,Maserati,,Importado,275 cv,81 285 km,Sedan,Automática,,Sim
22,2016,Classe 1,Diesel,Usados,8075621133,Renault,,,90 cv,60 000 km,SUV / TT,Manual,,Sim
23,2011,Classe 1,GPL,Usados,8074631586,Chevrolet,00-00-00,Nacional,115 cv,120 000 km,Sedan,Manual,,
24,2015,Classe 1,Diesel,Usados,8074631738,DS,00-00-00,Nacional,90 cv,40 000 km,Citadino,Manual,,Sim
25,2013,Classe 1,Diesel,Usados,8074631680,Volvo,00-00-00,,109 cv,120 000 km,Utilitário,Manual,,
26,2006,Classe 1,Diesel,Usados,8074631655,Alfa Romeo,00-00-00,Nacional,150 cv,210 000 km,Carrinha,Manual,,
27,2016,Classe 1,Diesel,Usados,8075621133,Renault,,,90 cv,60 000 km,SUV / TT,Manual,,Sim
28,1997,Classe 1,Gasolina,Usados,8075640717,BMW,,,115 cv,45 000 km,Cabrio,Manual,Série Z,
29,2015,Classe 1,Gasolina,Usados,8059261979,BMW,,Nacional,600 cv,42 000 km,Sedan,Automática,Série 6,Sim
30,2016,Classe 1,Eléctrico,Usados,8071336123,BMW,,Importado,170 cv,52 000 km,Utilitário,Automática,Série i,Sim
31,2013,,Híbrido (Diesel),Usados,8075750466,Citroën,48-VP-72,,200 cv,156 555 km,Utilitário,Automática,,Sim
32,2009,Classe 1,Gasolina,Usados,8062861050,MINI,,Nacional,174 cv,74 000 km,Carrinha,Manual,,
33,2020,Classe 1,Gasolina,Usados,8075750545,Ford,44-ZS-52,Nacional,125 cv,500 km,Carrinha,Manual,,
34,2017,Classe 1,Diesel,Usados,8073205543,Hyundai,,Nacional,75 cv,57 200 km,Utilitário,Manual,,
35,2011,Classe 1,Diesel,Usados,8051541508,BMW,,Nacional,313 cv,134 000 km,Coupé,Automática,Série 6,
36,2007,Classe 1,Gasolina,Usados,8074634847,SEAT,00-00-00,Nacional,240 cv,99 000 km,Utilitário,Manual,,
37,2017,Classe 1,Diesel,Usados,8075750384,Peugeot,00-00-00,,120 cv,137 160 km,SUV / TT,Manual,,Sim
38,2015,Classe 1,Diesel,Usados,8075761263,Peugeot,,,120 cv,75 200 km,Utilitário,Manual,,Sim
39,2010,Classe 1,Diesel,Usados,8074631773,Citroën,00-00-00,Nacional,163 cv,120 000 km,Carrinha,Manual,,
40,2008,Classe 2,Diesel,Usados,8052914668,BMW,,Nacional,286 cv,140 000 km,SUV / TT,Automática,Série X,
41,2006,Classe 1,Diesel,Usados,8075749931,Toyota,74-CA-35,Nacional,90 cv,106 302 km,Citadino,Manual,,Sim
42,2015,Classe 1,Diesel,Usados,8074530738,Mercedes-Benz,00-00-00,,136 cv,26 700 km,Coupé,Manual,Classe CLA,Sim
43,2018,Classe 1,Híbrido (Gasolina),Usados,8074631663,BMW,,,225 cv,8 200 km,SUV / TT,Automática,Série 2,
44,2001,Classe 1,Diesel,Usados,8074530478,Renault,00-00-00,Nacional,65 cv,240 000 km,Citadino,Manual,,
45,2015,,Diesel,Usados,8075748980,Volvo,,,150 cv,100 000 km,Carrinha,Automática,,
46,2007,Classe 1,Diesel,Usados,8075750336,Opel,00-00-00,Nacional,90 cv,130 000 km,Carrinha,Manual,,
47,2014,Classe 1,Eléctrico,Usados,8072810721,Tesla,,Importado,421 cv,131 900 km,Sedan,Automática,,
48,2006,,Diesel,Usados,8075749911,Citroën,,,110 cv,162 000 km,Sedan,Manual,,
49,2008,Classe 1,Diesel,Usados,8074631579,BMW,00-00-00,Nacional,203 cv,212 000 km,Utilitário,Manual,Série 1,
50,2015,Classe 1,Diesel,Usados,8075749992,Mercedes-Benz,,Importado,170 cv,165 000 km,Carrinha,Manual,Classe C,
51,1991,Classe 2,Diesel,Usados,8069592962,Land Rover,XJ-49-18,Nacional,120 cv,172 000 km,SUV / TT,Manual,,
52,2019,Classe 1,Gasolina,Usados,8075749603,Smart,22-ZQ-37,Nacional,71 cv,1 km,Pequeno citadino,Manual,,
53,2010,,Diesel,Usados,8075749823,Mercedes-Benz,,,235 cv,153 883 km,Sedan,,Classe S,
54,2015,,Diesel,Usados,8075750138,Audi,44PL73,Nacional,150 cv,82 000 km,Sedan,Automática,,Sim
55,2019,Classe 1,Gasolina,Usados,8075750020,Citroën,96-XI-88,Nacional,70 cv,21 111 km,Pequeno citadino,Manual,,
56,2007,Classe 1,Diesel,Usados,8066666358,MINI,00-00-00,,110 cv,130 000 km,Citadino,Automática,,
57,2017,Classe 1,Híbrido (Gasolina),Usados,8075750164,BMW,,Nacional,252 cv,42 000 km,Sedan,Automática,Série 5,Sim
58,2019,,Diesel,Usados,8072358901,Citroën,37-XA-03,Nacional,130 cv,20 000 km,Monovolume,Automática,,Sim
