,Ano de Registo,Classe do veículo,Combustível,Condição,ID,Marca,Potência,Quilómetros,Segmento,Série,Tipo de Caixa,Matrícula,Origem,Valor Fixo
0,2015,Classe 1,Diesel,Usados,8072367754,Mercedes-Benz,177 cv,153 000 km,Carrinha,Classe CLA,Automática,,,
1,2016,Classe 1,Diesel,Usados,8074381400,VW,75 cv,53 395 km,Citadino,,Manual,02-RI-21,Nacional,
2,2017,,Diesel,Usados,8075645274,BMW,116 cv,150 000 km,Monovolume,Série 2,,,,
3,2009,,Diesel,Usados,8064216873,BMW,286 cv,258 000 km,SUV / TT,Série X,,,,
4,2018,Classe 2,Diesel,Usados,8075705314,Mercedes-Benz,190 cv,49 500 km,Monovolume,Classe V,Automática,25-UL-11,,
5,2013,,Diesel,Usados,8075706718,VW,140 cv,130 000 km,Carrinha,,Manual,,Nacional,Sim
6,2019,Classe 1,Híbrido (Gasolina),Usados,8073191906,Volvo,390 cv,2 000 km,Carrinha,,Automática,40ZM11,Nacional,
7,2015,,Diesel,Usados,8075641336,VW,110 cv,192 000 km,Carrinha,,,,,
8,2013,,Diesel,Usados,8075644878,Volvo,115 cv,180 000 km,Sedan,,,,,
9,2018,,Diesel,Usados,8072802841,Mercedes-Benz,204 cv,26 000 km,SUV / TT,Classe GLC,Automática,,,
10,2018,,Diesel,Usados,8072802841,Mercedes-Benz,204 cv,26 000 km,SUV / TT,Classe GLC,Automática,,,
11,2018,,Gasolina,Usados,8075704629,Smart,90 cv,30 000 km,Pequeno citadino,,Automática,,,Sim
12,2015,Classe 1,Diesel,Usados,8075705065,Opel,95 cv,159 000 km,Utilitário,,Manual,,Nacional,
13,2006,,Diesel,Usados,8075705008,Skoda,75 cv,179 800 km,Carrinha,,Manual,,Nacional,
14,2017,,Diesel,Usados,8075645274,BMW,116 cv,150 000 km,Monovolume,Série 2,,,,
15,2012,Classe 1,Diesel,Usados,8068697921,VW,105 cv,226 000 km,Carrinha,,Manual,55 NE 58,Nacional,
16,2016,Classe 1,Diesel,Usados,8073112583,VW,150 cv,103 205 km,Sedan,,Manual,34-RS-07,Nacional,
17,2009,Classe 1,Gasolina,Usados,8075706084,MINI,75 cv,113 000 km,Citadino,,Manual,,Nacional,
