,Ano de Registo,Combustível,Condição,ID,Marca,Matrícula,Origem,Potência,Quilómetros,Segmento,Tipo de Caixa,Valor Fixo,Classe do veículo,Série
0,2019,Gasolina,Usados,8074081238,Renault,30-XD-16,Nacional,90 cv,20 573 km,Citadino,Manual,Sim,,
1,2015,Diesel,Usados,8074279001,VW,,Nacional,110 cv,108 000 km,Carrinha,Manual,Sim,Classe 1,
2,2014,Diesel,Usados,8066085090,Peugeot,,Nacional,70 cv,139 674 km,Citadino,Manual,,Classe 1,
3,2018,Gasolina,Usados,8074081246,Renault,17-VO-35,Nacional,90 cv,24 853 km,Citadino,Manual,Sim,,
4,2019,Diesel,Usados,8074081287,Renault,60-ZJ-63,Nacional,150 cv,3 076 km,SUV / TT,Automática,Sim,,
5,2018,Gasolina,Usados,8074081260,Renault,84-VP-88,Nacional,90 cv,25 292 km,SUV / TT,Manual,Sim,,
6,2016,Diesel,Usados,8059740893,Renault,90-ZD-03,,110 cv,157 264 km,Carrinha,Manual,Sim,Classe 1,
7,2006,Diesel,Usados,8073385631,Citroën,,,110 cv,235 000 km,Utilitário,Manual,Sim,Classe 1,
8,2015,Híbrido (Gasolina),Usados,8075385187,VW,,,204 cv,119 000 km,Citadino,,,,
9,2019,Gasolina,Usados,8074081271,Renault,71-XD-53,Nacional,90 cv,20 450 km,SUV / TT,Manual,Sim,,
10,2019,Gasolina,Usados,8074081171,Renault,24-XN-49,Nacional,90 cv,6 120 km,Carrinha,Manual,Sim,,
11,2019,Gasolina,Usados,8075384538,Nissan,90-XL-45,Nacional,140 cv,3 816 km,SUV / TT,Manual,Sim,,
12,2011,Diesel,Usados,8075384823,VW,,Nacional,105 cv,202 000 km,Carrinha,Manual,,Classe 1,
13,2018,Diesel,Usados,8075384547,Hyundai,50-UL-65,Nacional,75 cv,39 303 km,Citadino,Manual,Sim,,
14,2019,Diesel,Usados,8075384550,Audi,52-ZR-03,Nacional,150 cv,100 km,Carrinha,Automática,Sim,,
15,2019,Eléctrico,Usados,8074081280,BMW,38-ZR-53,Nacional,170 cv,6 km,Utilitário,Automática,Sim,,Série i
16,2018,Diesel,Usados,8074081275,Renault,46-UZ-97,Nacional,110 cv,45 401 km,Sedan,Manual,Sim,,
17,2019,Gasolina,Usados,8074081252,Renault,52-XA-15,Nacional,90 cv,17 638 km,Citadino,Manual,Sim,,
18,2007,Diesel,Usados,8069332426,Opel,,Nacional,90 cv,197 774 km,Coupé,Manual,,Classe 1,
19,2019,Diesel,Usados,8066160316,Renault,,Nacional,110 cv,31 000 km,Carrinha,,Sim,,
20,2019,Gasolina,Usados,8074081224,Renault,27-XD-18,Nacional,90 cv,18 377 km,Citadino,Manual,Sim,,
21,2006,Diesel,Usados,8073385631,Citroën,,,110 cv,235 000 km,Utilitário,Manual,Sim,Classe 1,
22,2015,Diesel,Usados,8074279001,VW,,Nacional,110 cv,108 000 km,Carrinha,Manual,Sim,Classe 1,
23,2016,Híbrido (Gasolina),Usados,8072875103,Volvo,,,390 cv,94 000 km,SUV / TT,Automática,,,
24,2013,Diesel,Usados,8047173256,Renault,,,130 cv,134 995 km,Coupé,Manual,Sim,Classe 1,
25,2019,Eléctrico,Usados,8075385361,Nissan,,,150 cv,12 000 km,Utilitário,,,,
26,2019,Diesel,Usados,8074081231,Renault,69-XD-58,Nacional,90 cv,19 143 km,Carrinha,Manual,Sim,,
27,2013,Diesel,Usados,8075702417,Renault,,,110 cv,140 000 km,Carrinha,,,,
28,2019,Gasolina,Usados,8074081214,Renault,75-XD-04,Nacional,90 cv,19 196 km,SUV / TT,Manual,Sim,,
29,2018,Eléctrico,Usados,8074500630,BMW,00-00-00,,170 cv,10 000 km,Utilitário,Automática,Sim,,Série i
30,2019,Gasolina,Usados,8074081256,Renault,69-XD-64,Nacional,140 cv,20 274 km,Utilitário,Manual,Sim,,
31,2019,Diesel,Usados,8066160068,Renault,,Nacional,115 cv,23 000 km,Carrinha,,Sim,,
32,2015,Diesel,Usados,8068132236,Peugeot,,Importado,120 cv,122 300 km,Carrinha,Manual,,Classe 1,
33,2014,Diesel,Usados,8075384470,Citroën,,,120 cv,171 000 km,Monovolume,Automática,,Classe 1,
34,2018,Eléctrico,Usados,8074500630,BMW,00-00-00,,170 cv,10 000 km,Utilitário,Automática,Sim,,Série i
35,2014,Diesel,Usados,8047444384,Volvo,88-XJ-19,,190 cv,130 324 km,Utilitário,Manual,,Classe 1,
36,2013,Diesel,Usados,8067556268,BMW,,,184 cv,86 800 km,Carrinha,Manual,,Classe 1,Série 3
37,2017,Gasolina,Usados,8069333840,Fiat,,Nacional,70 cv,42 111 km,Cabrio,Manual,,Classe 1,
38,2019,Diesel,Usados,8066159887,Renault,,Nacional,115 cv,15 000 km,Carrinha,Manual,Sim,,
